date,count,count_positive,count_negative,quotient,count_mean_7,count_positive_mean_7,count_negative_mean_7,quotient_mean_7,incidence,hospitalizations,icu_ratio,icu_ratio_mean_7,phase
2022-04-03,31491,2322,29169,0.073735352957988,41718,2870.85714285714,38847.1428571429,0.0688157903748296,1583.5,13.5,0.09173094467943933,0.09404996684770853,Phase 7
2022-04-04,34118,3002,31116,0.0879887449440178,40052,2747,37305,0.0685858384100669,1555.7,13.24,0.09148239148239148,0.09331704982675738,Phase 7
2022-04-05,31570,2594,28976,0.0821666138739309,38465,2645.71428571429,35819.2857142857,0.0687823810142802,1493.7,12.9,0.08829049367605059,0.09210377926302893,Phase 7
2022-04-06,32493,2543,29950,0.0782630104945681,36925.4285714286,2547.85714285714,34377.5714285714,0.0690000696384218,1417.4,12.39,0.08585632207326514,0.09082382248547226,Phase 7
2022-04-07,30858,2337,28521,0.0757340073886836,35515.2857142857,2493.42857142857,33021.8571428571,0.0702071944876854,1332.1,12.11,0.0836183032079466,0.08936989455377198,Phase 7
2022-04-08,34901,2288,32613,0.0655568608349331,34091.8571428571,2462.57142857143,31629.2857142857,0.072233419794421,1254.9,11.81,0.08303988207354025,0.08792830296856607,Phase 7
2022-04-09,32988,1978,31010,0.0599611980113981,32631.2857142857,2437.71428571429,30193.5714285714,0.0747048187760213,1207.8,11.76,0.0817747384032298,0.08654186794226618,Phase 7
2022-04-10,26776,2192,24584,0.0818643561398267,31957.7142857143,2419.14285714286,29538.5714285714,0.075698244108286,1187.3,11.68,0.08249346771183277,0.08522222837546524,Phase 7
2022-04-11,32172,2872,29300,0.0892701728210867,31679.7142857143,2400.57142857143,29279.1428571429,0.0757762966837724,1182.7,11.69,0.08164105943897516,0.08381632379783432,Phase 7
2022-04-12,29141,2642,26499,0.0906626402662915,31332.7142857143,2407.42857142857,28925.2857142857,0.076834344751492,1164.7,11.63,0.07865998850480335,0.08244053734479902,Phase 7
2022-04-13,30395,2626,27769,0.0863957887810495,31033,2419.28571428571,28613.7142857143,0.07795848658801,1130.3,11.48,0.07589065834838286,0.08101687109838726,Phase 7
2022-04-14,31426,2790,28636,0.0887799910901801,31114.1428571429,2484,28630.1428571429,0.079835077296039,1094.2,11.12,0.0747598324985631,0.07975137528276105,Phase 7
2022-04-15,20339,1806,18533,0.0887949260042283,29033.8571428571,2415.14285714286,26618.7142857143,0.0831836722644007,1073.6,10.99,0.07393814432989691,0.07845112703366913,Phase 7
2022-04-16,30082,2619,27463,0.087062030450103,28618.7142857143,2506.71428571429,26112,0.0875900384863052,975.2,9.92,0.0721444545680444,0.07707537220007123,Phase 7
2022-04-17,21869,1812,20057,0.082857012209063,27917.7142857143,2452.42857142857,25465.2857142857,0.087844891108564,946.3,9.73,0.0732202827646254,0.07575063149332731,Phase 7
2022-04-18,24611,2343,22268,0.0952013327373939,26837.5714285714,2376.85714285714,24460.7142857143,0.0885645390523946,936.1,9.54,0.0731070496083551,0.07453148723181016,Phase 7
2022-04-19,31439,3117,28322,0.0991443748210821,27165.8571428571,2444.71428571429,24721.1428571429,0.0899921645342631,811.9,7.98,0.07403909329829172,0.07387135934516564,Phase 7
2022-04-20,27610,2282,25328,0.0826512133285042,26768,2395.57142857143,24372.4285714286,0.0894938519340791,783.7,8.34,0.07112387202625102,0.07319038987057538,Phase 7
2022-04-21,27082,2129,24953,0.0786131009526623,26147.4285714286,2301.14285714286,23846.2857142857,0.0880064688141964,808.3,8.6,0.06748114135782224,0.07215057685046954,Phase 7
2022-04-22,28402,2067,26335,0.0727765650306317,27299.2857142857,2338.42857142857,24960.8571428571,0.0856589654360397,814.6,8.53,0.06629947798923096,0.07105933880180297,Phase 7
2022-04-23,27112,1670,25442,0.0615963411035704,26875,2202.85714285714,24672.1428571429,0.0819667774086379,884.8,9.28,0.06681293206937948,0.07029769273056513,Phase 7
2022-04-24,24258,1756,22502,0.0723884903949213,27216.2857142857,2194.85714285714,25021.4285714286,0.0806449919690941,887.8,9.24,0.06525712386807345,0.06916009860248629,Phase 7
2022-04-25,28748,2167,26581,0.0753791568109086,27807.2857142857,2169.71428571429,25637.5714285714,0.0780268275015284,879.1,9.27,0.06527772025017603,0.06804162297988928,Phase 7
2022-04-26,25382,1721,23661,0.0678039555590576,26942,1970.28571428571,24971.7142857143,0.0731306404233433,977.5,10.44,0.06253859771913212,0.06639869504000932,Phase 7
2022-04-27,26560,1684,24876,0.0634036144578313,26792,1884.85714285714,24907.1428571429,0.0703514908501472,954.2,9.47,0.05938437512842642,0.06472162405460581,Phase 7
2022-04-28,24973,1527,23446,0.0611460377207384,26490.7142857143,1798.85714285714,24691.8571428571,0.0679051958907434,877.4,8.77,0.0578791371644986,0.06334990916984529,Phase 7
2022-04-29,26080,1499,24581,0.0574769938650307,26159,1717.71428571429,24441.2857142857,0.0656643711806371,804,8.3,0.057041292935973216,0.06202731130509419,Phase 7
