lag,ccf,p_value,p_value_bh,phase,target
-19,-0.028559943860737638,0.7238882861120381,0.987053063532126,Phase 7,hospitalizations
-18,0.0034620979583221464,0.965842002331146,0.9986781755402474,Phase 7,hospitalizations
-17,-0.041234363841608855,0.6100227994104501,0.987053063532126,Phase 7,hospitalizations
-16,0.08444000942737424,0.2962701961345438,0.755075699097708,Phase 7,hospitalizations
-15,0.06506754953148058,0.4209113587088389,0.8625282202630402,Phase 7,hospitalizations
-14,0.008852716301573091,0.9128042933810216,0.9986781755402474,Phase 7,hospitalizations
-13,-0.03364802293238155,0.6772614222974673,0.987053063532126,Phase 7,hospitalizations
-12,-0.08783227701075151,0.2772908881681861,0.755075699097708,Phase 7,hospitalizations
-11,-0.019630189747594767,0.8081510101431314,0.9941968812068821,Phase 7,hospitalizations
-10,0.1008677598023994,0.2121536598816171,0.755075699097708,Phase 7,hospitalizations
-9,-0.02136014416169618,0.7916178041072784,0.9941968812068821,Phase 7,hospitalizations
-8,-0.007820904829668454,0.9229334689201558,0.9986781755402474,Phase 7,hospitalizations
-7,0.11462378838677556,0.1562439191862109,0.755075699097708,Phase 7,hospitalizations
-6,0.0614772150357885,0.4469969073448408,0.8736757734467343,Phase 7,hospitalizations
-5,-8.290506899650044e-4,0.991818004237628,0.9986781755402474,Phase 7,hospitalizations
-4,0.07816210542321596,0.33363809960131285,0.755075699097708,Phase 7,hospitalizations
-3,-0.26577754723360875,0.0010108596363951167,0.02173348218249501,Phase 7,hospitalizations
-2,0.23434887371973379,0.0037467084404438997,0.04027711573477192,Phase 7,hospitalizations
-1,0.24995295652737223,0.00198982144895527,0.028520774101692202,Phase 7,hospitalizations
0,-0.38572228881615334,1.832032403452144e-6,7.877739334844219e-5,Phase 7,hospitalizations
1,0.15924595509198508,0.04886546094109265,0.42024296409339673,Phase 7,hospitalizations
2,-0.019517607819599513,0.809230019586997,0.9941968812068821,Phase 7,hospitalizations
3,-0.01088239090888768,0.8929220204646442,0.9986781755402474,Phase 7,hospitalizations
4,0.08065444263823107,0.3184537834502699,0.755075699097708,Phase 7,hospitalizations
5,-0.0922816766179541,0.2536780078019723,0.755075699097708,Phase 7,hospitalizations
6,-0.058077536372064614,0.4725233536679486,0.8834132264226866,Phase 7,hospitalizations
7,0.12524888786050756,0.12132327241513728,0.7452715305501291,Phase 7,hospitalizations
8,-0.06502226444135828,0.4212347122214848,0.8625282202630402,Phase 7,hospitalizations
9,-0.005780950163447701,0.9429947276172446,0.9986781755402474,Phase 7,hospitalizations
10,-0.030311091616876486,0.7077143885385047,0.987053063532126,Phase 7,hospitalizations
11,0.10922044367060031,0.17670110997512234,0.755075699097708,Phase 7,hospitalizations
12,1.339331878019918e-4,0.9986781755402474,0.9986781755402474,Phase 7,hospitalizations
13,-0.027412815902759822,0.7345511170471635,0.987053063532126,Phase 7,hospitalizations
14,0.08268401431066173,0.30642853583660584,0.755075699097708,Phase 7,hospitalizations
15,-0.08242929278809212,0.30792103162863044,0.755075699097708,Phase 7,hospitalizations
16,-0.003622759883211369,0.9642579053876237,0.9986781755402474,Phase 7,hospitalizations
17,0.045607056269409384,0.5726669345900641,0.9849871274949102,Phase 7,hospitalizations
18,-0.13434735865645508,0.0965558806907786,0.6919838116172466,Phase 7,hospitalizations
19,0.08433978117495002,0.296843875795861,0.755075699097708,Phase 7,hospitalizations
20,0.027924928173164054,0.7297844425258334,0.987053063532126,Phase 7,hospitalizations
